bucket,N,S,period
2023-11-28,3,0.7667012810707092,pre
2023-11-29,3,0.4788668155670166,pre
2023-11-30,10,0.9079979128307767,pre
2023-12-01,24,0.6558603618455969,pre
2023-12-03,1,,pre
2023-12-04,1,,pre
2023-12-05,2,0.33209967613220215,pre
2023-12-06,29,0.5788578923259463,pre
2023-12-07,39,0.5663596642644781,pre
2023-12-08,27,0.4786860209244948,pre
2023-12-09,1,,pre
2023-12-10,1,,pre
2023-12-11,4,0.30921828746795654,pre
2023-12-12,36,0.41533679962158204,pre
2023-12-13,31,0.5340960343678792,pre
2023-12-14,5,0.34391357004642487,pre
2023-12-15,6,0.6275137662887573,pre
2023-12-16,1,,pre
2023-12-17,1,,pre
2023-12-18,14,0.5178421919162457,pre
2023-12-19,6,0.40240204334259033,pre
2023-12-20,4,0.49798790613810223,pre
2023-12-21,9,0.5397234782576561,pre
2023-12-22,24,0.6157296636830205,pre
2023-12-23,2,0.7802510261535645,pre
2023-12-25,2,0.45922625064849854,pre
2023-12-26,2,0.40206384658813477,pre
2023-12-27,1,,pre
2023-12-29,1,,pre
2024-01-03,3,0.35712823271751404,pre
2024-01-04,6,0.46014277935028075,pre
2024-01-05,1,,pre
2024-01-08,10,0.5857893096076118,pre
2024-01-09,3,0.325680136680603,pre
2024-01-11,6,0.43851137161254883,pre
2024-01-12,15,0.6636707867894854,pre
2024-01-13,2,0.3065379858016968,pre
2024-01-14,4,0.8907947540283203,pre
2024-01-15,4,0.3686364491780599,pre
2024-01-16,1,,pre
2024-01-17,3,0.3762585520744324,pre
2024-01-18,1,,pre
2024-01-19,11,0.6047923386096954,pre
2024-01-20,2,0.36840391159057617,pre
2024-01-21,2,0.37879860401153564,pre
2024-01-22,4,0.4459493160247803,pre
2024-01-23,1,,pre
2024-01-25,3,0.37378036975860596,pre
2024-01-26,3,0.8014518022537231,pre
2024-01-27,1,,pre
2024-01-29,1,,pre
2024-01-30,2,0.2561221122741699,pre
2024-01-31,3,0.8802593052387238,pre
2024-02-01,1,,pre
2024-02-02,2,0.08927404880523682,pre
2024-02-05,12,0.5679989944804799,pre
2024-02-06,8,0.4763428824288504,pre
2024-02-07,8,0.5004145758492606,pre
2024-02-13,3,0.3559335768222809,pre
2024-02-14,2,0.594165563583374,pre
2024-02-16,1,,pre
2024-02-19,3,0.49401772022247314,pre
2024-02-20,32,0.5219785628780242,pre
2024-02-21,46,0.5283783170912001,pre
2024-02-22,7,0.5072095990180969,pre
2024-02-23,20,0.6154475212097168,pre
2024-02-24,4,0.589165210723877,pre
2024-02-25,10,0.6829720338185629,pre
2024-02-26,14,0.46856279556567854,pre
2024-02-27,67,0.5431815882523855,pre
2024-02-28,24,0.5431715094524882,pre
2024-02-29,7,0.5077670216560364,pre
2024-03-01,3,0.3133569061756134,pre
2024-03-03,3,0.4783889353275299,pre
2024-03-04,39,0.46612782384219925,pre
2024-03-05,19,0.5104581713676453,pre
2024-03-06,28,0.4411872051380299,pre
2024-03-07,25,0.5074395090341568,pre
2024-03-08,13,0.4298665126164754,pre
2024-03-09,3,0.40531402826309204,pre
2024-03-10,2,0.3397696018218994,pre
2024-03-11,5,0.3823520839214325,pre
2024-03-12,13,0.342028371989727,pre
2024-03-13,14,0.5162003498810989,pre
2024-03-14,23,0.46859906207431445,pre
2024-03-15,53,0.5666503688463798,pre
2024-03-16,7,0.5434333086013794,pre
2024-03-17,4,0.33144112428029376,pre
2024-03-18,21,0.46338506042957306,pre
2024-03-19,155,0.5341439061350637,pre
2024-03-20,38,0.5205476928401638,pre
2024-03-21,28,0.5731686662744593,pre
2024-03-22,27,0.5596779218086829,pre
2024-03-23,1,,pre
2024-03-24,8,0.5490907260349819,pre
2024-03-25,39,0.49553652813560084,pre
2024-03-26,25,0.4678097777068615,pre
2024-03-27,35,0.5077366863980013,pre
2024-03-28,17,0.4666088782250881,pre
2024-03-29,74,0.547466758179338,pre
2024-03-30,4,0.5545668601989746,pre
2024-03-31,3,0.42452624440193176,pre
2024-04-01,42,0.5909299792312994,pre
2024-04-02,21,0.5663386225700379,pre
2024-04-03,5,0.48721766471862793,pre
2024-04-04,22,0.48859845456622897,pre
2024-04-05,2,0.46132469177246094,pre
2024-04-06,2,0.4104321002960205,pre
2024-04-07,3,0.3739190399646759,pre
2024-04-08,44,0.6780397559321204,pre
2024-04-09,87,0.5928413805573486,pre
2024-04-10,10,0.5206695132785373,pre
2024-04-11,21,0.6131994247436523,pre
2024-04-12,8,0.42487103598458426,pre
2024-04-14,2,0.37217092514038086,pre
2024-04-15,45,0.7479457475922324,pre
2024-04-16,11,0.5100641965866088,pre
2024-04-17,30,0.5681544830059183,pre
2024-04-18,30,0.5211360988945797,pre
2024-04-19,9,0.44771116971969604,pre
2024-04-20,1,,pre
2024-04-21,22,0.8157766546521869,pre
2024-04-22,33,0.5263483691960573,pre
2024-04-23,21,0.6160785794258118,pre
2024-04-24,32,0.5551171456613848,pre
2024-04-25,28,0.45009975521652784,pre
2024-04-26,4,0.4759950637817383,pre
2024-04-29,1,,pre
2024-04-30,2,0.3294093608856201,pre
2024-05-01,1,,pre
2024-05-02,27,0.7640341474459722,pre
2024-05-03,70,0.6441142714541891,pre
2024-05-04,15,0.7414418203490121,pre
2024-05-05,6,0.7132900953292847,pre
2024-05-06,9,0.6847218871116638,pre
2024-05-07,37,0.608254161145952,pre
2024-05-08,40,0.6119531607016538,pre
2024-05-10,4,0.5066703955332438,pre
2024-05-11,15,0.5100255523409162,pre
2024-05-12,36,0.8161320890699114,pre
2024-05-13,23,0.515012421391227,pre
2024-05-14,18,0.5646113998749677,pre
2024-05-15,11,0.5980119228363037,pre
2024-05-16,13,0.42924455801645917,pre
2024-05-17,38,0.4980595369596739,pre
2024-05-18,10,0.5823929044935439,pre
2024-05-19,7,0.4858294228712718,pre
2024-05-20,68,0.5481231959898081,pre
2024-05-21,18,0.5382412461673513,pre
2024-05-22,20,0.6351528795141923,pre
2024-05-23,8,0.4314588819231306,pre
2024-05-24,33,0.8596454672515392,pre
2024-05-25,3,0.6000804901123047,pre
2024-05-26,1,,pre
2024-05-27,51,0.6807644164562225,pre
2024-05-28,2,0.8166306018829346,pre
2024-05-29,3,0.44510987401008606,pre
2024-05-30,2,0.39597177505493164,pre
2024-05-31,1,,pre
2024-06-02,12,0.7399410117756237,pre
2024-06-03,7,0.4658351540565491,pre
2024-06-04,18,0.8342254722819609,pre
2024-06-06,2,0.28992176055908203,pre
2024-06-07,7,0.48045692841211957,pre
2024-06-09,1,,pre
2024-06-10,1,,pre
2024-06-11,12,0.5701052925803445,pre
2024-06-12,2,0.43597960472106934,pre
2024-06-13,19,0.5611092117097642,pre
2024-06-14,4,0.45012903213500977,pre
2024-06-16,2,0.719761848449707,pre
2024-06-17,45,0.5221789723092859,pre
2024-06-18,5,0.40790653228759766,pre
2024-06-19,6,0.4493989944458008,pre
2024-06-20,62,0.6645450474785977,pre
2024-06-21,51,0.6119754004478455,pre
2024-06-22,3,0.47954291105270386,pre
2024-06-23,5,0.7583391517400742,pre
2024-06-24,38,0.6372413635253906,pre
2024-06-25,14,0.6245164137620193,pre
2024-06-26,2,0.3510880470275879,pre
2024-06-27,2,0.45681023597717285,pre
2024-06-28,26,0.7169596195220947,pre
2024-06-29,2,0.7518130540847778,pre
2024-06-30,3,0.5990846753120422,pre
2024-07-01,31,0.7409743169943491,pre
2024-07-02,5,0.6308712661266327,pre
2024-07-03,64,0.6608775305369544,pre
2024-07-04,38,0.5171258642866805,pre
2024-07-05,5,0.3896356225013733,pre
2024-07-06,1,,pre
2024-07-08,1,,pre
2024-07-09,17,0.4402586854994297,pre
2024-07-10,8,0.5108761787414551,pre
2024-07-11,6,0.41613895893096925,pre
2024-07-12,28,0.5876235785307707,pre
2024-07-13,1,,pre
2024-07-14,14,0.7848934026864859,pre
2024-07-15,27,0.5870004296302795,pre
2024-07-16,14,0.6203868389129639,pre
2024-07-17,4,0.43439586957295734,pre
2024-07-18,4,0.41309579213460285,pre
2024-07-19,20,0.6352577209472656,pre
2024-07-20,1,,pre
2024-07-21,10,0.4899178875817193,pre
2024-07-22,9,0.4896860644221306,pre
2024-07-24,3,0.35630863904953003,pre
2024-07-25,1,,pre
2024-07-26,3,0.3877769410610199,pre
2024-07-27,1,,pre
2024-07-28,3,0.5154790580272675,pre
2024-07-29,54,0.6574580017125832,pre
2024-07-30,41,0.6305411636829377,pre
2024-07-31,55,0.5913273923926883,pre
2024-08-01,13,0.5481632202863693,pre
2024-08-02,1,,pre
2024-08-04,2,0.7438750267028809,pre
2024-08-05,47,0.6862435859182606,pre
2024-08-06,3,0.5753032267093658,pre
2024-08-07,104,0.7420031491992543,pre
2024-08-08,48,0.6086137649860788,pre
2024-08-09,44,0.6155370557030966,pre
2024-08-10,4,0.36688439051310223,pre
2024-08-11,1,,pre
2024-08-12,51,0.7944738924503326,pre
2024-08-13,5,0.3338097631931305,pre
2024-08-14,46,0.8146755139033,pre
2024-08-15,1,,pre
2024-08-16,6,0.44577085971832275,pre
2024-08-19,8,0.49611847741263254,pre
2024-08-20,3,0.4828864634037018,pre
2024-08-22,2,0.3570103645324707,pre
2024-08-23,1,,pre
2024-08-26,3,0.4052261412143707,pre
2024-08-27,3,0.3838372230529785,pre
2024-08-28,84,0.507596544472568,pre
2024-08-29,49,0.5697287619113922,pre
