method,win,unit,mid,count,mean,abs90,abs95,abs99,rel90,rel95,rel99
① bge-m3·제목본문,1,매체,2023-02-15 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-02-16 12:00:00,21,0.7512181401252747,75,15,0,35.714285714285715,7.142857142857142,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-16 12:00:00,19,0.78153395652771,52,13,0,30.409356725146196,7.602339181286549,0.0
① bge-m3·제목본문,1,매체,2023-02-16 12:00:00,18,0.8012925386428833,43,9,0,28.104575163398692,5.88235294117647,0.0
① bge-m3·제목본문,1,기사,2023-02-17 12:00:00,3,0.562870442867279,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-17 12:00:00,3,0.562870442867279,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-02-17 12:00:00,3,0.562870442867279,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-02-20 12:00:00,2,0.6003495454788208,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-20 12:00:00,2,0.6003495454788208,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-02-20 12:00:00,2,0.6003495454788208,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-02-21 12:00:00,7,0.784538745880127,10,6,0,47.61904761904761,28.57142857142857,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-21 12:00:00,7,0.7845386266708374,10,6,0,47.61904761904761,28.57142857142857,0.0
① bge-m3·제목본문,1,매체,2023-02-21 12:00:00,6,0.7820608615875244,10,4,0,66.66666666666666,26.666666666666668,0.0
① bge-m3·제목본문,1,기사,2023-02-22 12:00:00,2,0.4779534637928009,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-22 12:00:00,2,0.4779534339904785,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-02-22 12:00:00,2,0.4779534339904785,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-02-23 12:00:00,2,0.6559752821922302,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-23 12:00:00,2,0.6559752821922302,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-02-23 12:00:00,2,0.6559752821922302,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-02-24 12:00:00,13,0.8100870847702026,38,21,0,48.717948717948715,26.923076923076923,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-24 12:00:00,12,0.8293628096580505,30,15,0,45.45454545454545,22.727272727272727,0.0
① bge-m3·제목본문,1,매체,2023-02-24 12:00:00,12,0.8293628096580505,30,15,0,45.45454545454545,22.727272727272727,0.0
① bge-m3·제목본문,1,기사,2023-02-26 12:00:00,2,0.7348227500915527,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-26 12:00:00,2,0.7348227500915527,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-02-26 12:00:00,2,0.7348227500915527,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-02-27 12:00:00,7,0.4971039593219757,1,0,0,4.761904761904762,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-27 12:00:00,7,0.4971039295196533,1,0,0,4.761904761904762,0.0,0.0
① bge-m3·제목본문,1,매체,2023-02-27 12:00:00,7,0.4971039295196533,1,0,0,4.761904761904762,0.0,0.0
① bge-m3·제목본문,1,기사,2023-02-28 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-02-28 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-02-28 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-03-01 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-03-01 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-03-01 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-03-03 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-03-03 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-03-03 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-03-05 12:00:00,3,0.8237583041191101,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-03-05 12:00:00,3,0.8237583041191101,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-03-05 12:00:00,3,0.8237583041191101,0,0,0,0.0,0.0,0.0
